aba	a . b a
balekgotla	b a . l ɪ . k͡x ʊ . t͡lʼ a
balela	b a . l ɪ . l a
balelang	b a . l ɪ . l a . ŋ
balelapa	b a . l ɪ . l a . pʼ a
balele	b a . l ɪ . l ɪ
baleletswe	b a . l ɪ . l ɪ . t͡sʼ w ɪ
balelwa	b a . l ɪ . l w a
balelwang	b a . l ɪ . l w a . ŋ
balelwe	b a . l ɪ . l w ɪ
balemi	b a . l ɪ . m i
baleming	b a . l ɪ . m i . ŋ
balemipotlana	b a . l ɪ . m i . pʼ ʊ . t͡lʼ a . n a
balemipotlaneng	b a . l ɪ . m i . pʼ ʊ . t͡lʼ a . n ɪ . ŋ
balemirui	b a . l ɪ . m i . r u . i
balemisi	b a . l ɪ . m i . s i
balemising	b a . l ɪ . m i . s i . ŋ
baleofi	b a . l ɪ . ʊ . f i
baletswe	b a . l ɪ . t͡sʼ w ɪ
baletsweng	b a . l ɪ . t͡sʼ w ɪ . ŋ
baloi	b a . l ʊ . i
balomaganyi	b a . l ʊ . m a . x a . ɲ i
balosika	b a . l ʊ . s i . kʼ a
balwantshi	b a . l w a . n . t͡sʰ i
balwetse	b a . l w ɪ . t͡sʼ ɪ
bamalapa	b a . m a . l a . pʼ a
bana	b a . n a
banaka	b a . n a . kʼ a
baneelakatiso	b a . n ɪ . ɪ . l a . kʼ a . tʼ i . s ʊ
baneelana	b a . n ɪ . ɪ . l a . n a
baneng	b a . n ɪ . ŋ
banetetshi	b a . n ɪ . tʼ ɪ . t͡sʰ i
banetshi	b a . n ɪ . t͡sʰ i
banewatlhotlhwa	b a . n ɪ . w a . t͡lʰ ʊ . t͡lʰ w a
bangwe	b a . ŋ w ɪ
bankatlhabololo	b a . n . kʼ a . t͡lʰ a . b ʊ . l ʊ . l ʊ
banna	b a . n . n a
banneng	b a . n . n ɪ . ŋ
bannye	b a . n . ɲ ɪ
bano	b a . n ʊ
banta	b a . n . tʼ a
bantle	b a . n . t͡lʼ ɪ
bantlhoile	b a . n . t͡lʰ ʊ . i . l ɪ
bantshadikuno	b a . n . t͡sʰ a . d i . kʼ u . n ʊ
bantshadikunong	b a . n . t͡sʰ a . d i . kʼ u . n ʊ . ŋ
bantshakhuno	b a . n . t͡sʰ a . kʰ u . n ʊ
bantshakunong	b a . n . t͡sʰ a . kʼ u . n ʊ . ŋ
bantshakunopotlana	b a . n . t͡sʰ a . kʼ u . n ʊ . pʼ ʊ . t͡lʼ a . n a
bantshakunothorong	b a . n . t͡sʰ a . kʼ u . n ʊ . tʰ ʊ . r ʊ . ŋ
bantsho	b a . n . t͡sʰ ʊ
bantshwa	b a . n . t͡sʰ w a
bantšhwa	b a . n . t͡ʃʰ w a
bantsi	b a . n . t͡sʼ i
bantsintsi	b a . n . t͡sʼ i . n . t͡sʼ i
banyana	b a . ɲ a . n a
bao	b a . ʊ
baokamedi	b a . ʊ . kʼ a . m ɪ . d i
baoki	b a . ʊ . kʼ i
baopedi	b a . ʊ . pʼ ɪ . d i
bapa	b a . pʼ a
bapadiwa	b a . pʼ a . d i . w a
bapalediwa	b a . pʼ a . l ɪ . d i . w a
bapanya	b a . pʼ a . ɲ a
bapatsa	b a . pʼ a . t͡sʼ a
bapatsang	b a . pʼ a . t͡sʼ a . ŋ
baphasalatsi	b a . pʰ a . s a . l a . t͡sʼ i
baphasalatsing	b a . pʰ a . s a . l a . t͡sʼ i . ŋ
baphepafatsi	b a . pʰ ɪ . pʼ a . f a . t͡sʼ i
bapile	b a . pʼ i . l ɪ
bapileng	b a . pʼ i . l ɪ . ŋ
bapisa	b a . pʼ i . s a
bapise	b a . pʼ i . s ɪ
bapisega	b a . pʼ i . s ɪ . x a
bapisegang	b a . pʼ i . s ɪ . x a . ŋ
bapisiwa	b a . pʼ i . s i . w a
bapisiwang	b a . pʼ i . s i . w a . ŋ
bapiswa	b a . pʼ i . s w a
bapong	b a . pʼ ʊ . ŋ
bara	b a . r a
barakhoutu	b a . r a . kʰ ʊ . u . tʼ u
baranodi	b a . r a . n ʊ . d i
baranoledi	b a . r a . n ʊ . l ɪ . d i
bararo	b a . r a . r ʊ
barataro	b a . r a . tʼ a . r ʊ
barati	b a . r a . tʼ i
baratwa	b a . r a . tʼ w a
barebodi	b a . r ɪ . b ʊ . d i
bareetsi	b a . r ɪ . ɪ . t͡sʼ i
bareetsing	b a . r ɪ . ɪ . t͡sʼ i . ŋ
bareketoro	b a . r ɪ . kʼ ɪ . tʼ ʊ . r ʊ
bareking	b a . r ɪ . kʼ i . ŋ
barekisantle	b a . r ɪ . kʼ i . s a . n . t͡lʼ ɪ
barekisi	b a . r ɪ . kʼ i . s i
bareng	b a . r ɪ . ŋ
baromedi	b a . r ʊ . m ɪ . d i
baromela	b a . r ʊ . m ɪ . l a
baromelantle	b a . r ʊ . m ɪ . l a . n . t͡lʼ ɪ
baromelateng	b a . r ʊ . m ɪ . l a . tʼ ɪ . ŋ
barongwa	b a . r ʊ . ŋ w a
barotloetsi	b a . r ʊ . t͡lʼ ʊ . ɪ . t͡sʼ i
baruakgomo	b a . r u . a . k͡x ʊ . m ʊ
barulaganyi	b a . r u . l a . x a . ɲ i
barutabana	b a . r u . tʼ a . b a . n a
barutabaneng	b a . r u . tʼ a . b a . n ɪ . ŋ
barutegi	b a . r u . tʼ ɪ . x i
baruti	b a . r u . tʼ i
barutisi	b a . r u . tʼ i . s i
barutwa	b a . r u . tʼ w a
barutwana	b a . r u . tʼ w a . n a
barwa	b a . r w a
barwadi	b a . r w a . d i
basadi	b a . s a . d i
basading	b a . s a . d i . ŋ
basaense	b a . s a . ɪ . n . s ɪ
basekaseki	b a . s ɪ . kʼ a . s ɪ . kʼ i
basekisi	b a . s ɪ . kʼ i . s i
basenyi	b a . s ɪ . ɲ i
basepedi	b a . s ɪ . pʼ ɪ . d i
basetsana	b a . s ɪ . t͡sʼ a . n a
basiami	b a . s i . a . m i
basimane	b a . s i . m a . n ɪ
basimanyana	b a . s i . m a . ɲ a . n a
basimolodi	b a . s i . m ʊ . l ʊ . d i
basireletsi	b a . s i . r ɪ . l ɪ . t͡sʼ i
basotli	b a . s ʊ . t͡lʼ i
basupetsi	b a . s u . pʼ ɪ . t͡sʼ i
basupi	b a . s u . pʼ i
basweu	b a . s w ɪ . u
baswi	b a . s w i
bata	b a . tʼ a
bateng	b a . tʼ ɪ . ŋ
bathapi	b a . tʰ a . pʼ i
bathaping	b a . tʰ a . pʼ i . ŋ
bathapiwa	b a . tʰ a . pʼ i . w a
bathapiweng	b a . tʰ a . pʼ i . w ɪ . ŋ
bathati	b a . tʰ a . tʼ i
bathating	b a . tʰ a . tʼ i . ŋ
bathei	b a . tʰ ɪ . i
bathelesi	b a . tʰ ɪ . l ɪ . s i
bathoba	b a . tʰ ʊ . b a
batho	b a . tʰ ʊ
bathong	b a . tʰ ʊ . ŋ
bathotshwaraganelo	b a . tʰ ʊ . t͡sʰ w a . r a . x a . n ɪ . l ʊ
bathuntshanonyane	b a . tʰ u . n . t͡sʰ a . n ʊ . ɲ a . n ɪ
bathusa	b a . tʰ u . s a
bathusi	b a . tʰ u . s i
bathuti	b a . tʰ u . tʼ i
batirelo	b a . tʼ i . r ɪ . l ʊ
batlaabalapile	b a . t͡lʼ a . a . b a . l a . pʼ i . l ɪ
batla	b a . t͡lʼ a
batlakopanong	b a . t͡lʼ a . kʼ ʊ . pʼ a . n ʊ . ŋ
batlamedi	b a . t͡lʼ a . m ɪ . d i
batlameding	b a . t͡lʼ a . m ɪ . d i . ŋ
batlamela	b a . t͡lʼ a . m ɪ . l a
batlamelakaditirelo	b a . t͡lʼ a . m ɪ . l a . kʼ a . d i . tʼ i . r ɪ . l ʊ
batlamelakamatlole	b a . t͡lʼ a . m ɪ . l a . kʼ a . m a . t͡lʼ ʊ . l ɪ
batlamoletlong	b a . t͡lʼ a . m ʊ . l ɪ . t͡lʼ ʊ . ŋ
batlana	b a . t͡lʼ a . n a
batlang	b a . t͡lʼ a . ŋ
batlatsa	b a . t͡lʼ a . t͡sʼ a
batlatsabatlhankedi	b a . t͡lʼ a . t͡sʼ a . b a . t͡lʰ a . n . kʼ ɪ . d i
batlatsamodulasetilo	b a . t͡lʼ a . t͡sʼ a . m ʊ . d u . l a . s ɪ . tʼ i . l ʊ
batlatsamotlhankedi	b a . t͡lʼ a . t͡sʼ a . m ʊ . t͡lʰ a . n . kʼ ɪ . d i
batle	b a . t͡lʼ ɪ
batlega	b a . t͡lʼ ɪ . x a
batlegalang	b a . t͡lʼ ɪ . x a . l a . ŋ
batlegang	b a . t͡lʼ ɪ . x a . ŋ
batlege	b a . t͡lʼ ɪ . x ɪ
batlegeng	b a . t͡lʼ ɪ . x ɪ . ŋ
batlela	b a . t͡lʼ ɪ . l a
batlele	b a . t͡lʼ ɪ . l ɪ
batlelwa	b a . t͡lʼ ɪ . l w a
batlelwang	b a . t͡lʼ ɪ . l w a . ŋ
batleng	b a . t͡lʼ ɪ . ŋ
batlhabani	b a . t͡lʰ a . b a . n i
batlhabolodi	b a . t͡lʰ a . b ʊ . l ʊ . d i
batlhagisi	b a . t͡lʰ a . x i . s i
batlhalerwa	b a . t͡lʰ a . l ɪ . r w a
batlhami	b a . t͡lʰ a . m i
batlhanka	b a . t͡lʰ a . n . kʼ a
batlhankedibagolo	b a . t͡lʰ a . n . kʼ ɪ . d i . b a . x ʊ . l ʊ
batlhankedibakaedi	b a . t͡lʰ a . n . kʼ ɪ . d i . b a . kʼ a . ɪ . d i
batlhankedi	b a . t͡lʰ a . n . kʼ ɪ . d i
batlhankeding	b a . t͡lʰ a . n . kʼ ɪ . d i . ŋ
batlhankela	b a . t͡lʰ a . n . kʼ ɪ . l a
batlhano	b a . t͡lʰ a . n ʊ
batlhatlheledi	b a . t͡lʰ a . t͡lʰ ɪ . l ɪ . d i
batlhatlhobi	b a . t͡lʰ a . t͡lʰ ʊ . b i
batlhoki	b a . t͡lʰ ʊ . kʼ i
batlhokofadiwa	b a . t͡lʰ ʊ . kʼ ʊ . f a . d i . w a
batlhokomedi	b a . t͡lʰ ʊ . kʼ ʊ . m ɪ . d i
batlhokomelwa	b a . t͡lʰ ʊ . kʼ ʊ . m ɪ . l w a
batlhokomelweng	b a . t͡lʰ ʊ . kʼ ʊ . m ɪ . l w ɪ . ŋ
batlhomamisi	b a . t͡lʰ ʊ . m a . m i . s i
batlhophi	b a . t͡lʰ ʊ . pʰ i
batlhophiwa	b a . t͡lʰ ʊ . pʰ i . w a
batlhotlhomisi	b a . t͡lʰ ʊ . t͡lʰ ʊ . m i . s i
batlile	b a . t͡lʼ i . l ɪ
batlileng	b a . t͡lʼ i . l ɪ . ŋ
batlisa	b a . t͡lʼ i . s a
batlisisa	b a . t͡lʼ i . s i . s a
batlisisang	b a . t͡lʼ i . s i . s a . ŋ
batlisise	b a . t͡lʼ i . s i . s ɪ
batlisisisa	b a . t͡lʼ i . s i . s i . s a
batlisisiwa	b a . t͡lʼ i . s i . s i . w a
batlisisiwang	b a . t͡lʼ i . s i . s i . w a . ŋ
batlisiswa	b a . t͡lʼ i . s i . s w a
batliwa	b a . t͡lʼ i . w a
batliwang	b a . t͡lʼ i . w a . ŋ
batliwe	b a . t͡lʼ i . w ɪ
batlolamolao	b a . t͡lʼ ʊ . l a . m ʊ . l a . ʊ
batlotlegi	b a . t͡lʼ ʊ . t͡lʼ ɪ . x i
batlwa	b a . t͡lʼ w a
batlwang	b a . t͡lʼ w a . ŋ
batona	b a . tʼ ʊ . n a
batsaakarolo	b a . t͡sʼ a . a . kʼ a . r ʊ . l ʊ
batsadi	b a . t͡sʼ a . d i
batsading	b a . t͡sʼ a . d i . ŋ
batsamai	b a . t͡sʼ a . m a . i
batsamaise	b a . t͡sʼ a . m a . i . s ɪ
batsamaisi	b a . t͡sʼ a . m a . i . s i
batsamaising	b a . t͡sʼ a . m a . i . s i . ŋ
batsamaya	b a . t͡sʼ a . m a . j a
batsaya	b a . t͡sʼ a . j a
batsayaditshwetso	b a . t͡sʼ a . j a . d i . t͡sʰ w ɪ . t͡sʼ ʊ
batsayakarolo	b a . t͡sʼ a . j a . kʼ a . r ʊ . l ʊ
batseleganyi	b a . t͡sʼ ɪ . l ɪ . x a . ɲ i
batseneledi	b a . t͡sʼ ɪ . n ɪ . l ɪ . d i
batsereganyi	b a . t͡sʼ ɪ . r ɪ . x a . ɲ i
batsha	b a . t͡sʰ a
batshabi	b a . t͡sʰ a . b i
batshameki	b a . t͡sʰ a . m ɪ . kʼ i
batshedi	b a . t͡sʰ ɪ . d i
batshegetsi	b a . t͡sʰ ɪ . x ɪ . t͡sʼ i
batshodi	b a . t͡sʰ ʊ . d i
batshola	b a . t͡sʰ ʊ . l a
batšhotšhisi	b a . t͡ʃʰ ʊ . t͡ʃʰ i . s i
batshwara	b a . t͡sʰ w a . r a
batshwarwa	b a . t͡sʰ w a . r w a
batsofe	b a . t͡sʼ ʊ . f ɪ
batsogapele	b a . t͡sʼ ʊ . x a . pʼ ɪ . l ɪ
batswa	b a . t͡sʼ w a
batswakwa	b a . t͡sʼ w a . kʼ w a
batswana	b a . t͡sʼ w a . n a
batswantle	b a . t͡sʼ w a . n . t͡lʼ ɪ
batswasetlhabelo	b a . t͡sʼ w a . s ɪ . t͡lʰ a . b ɪ . l ʊ
batswasetlhabelong	b a . t͡sʼ w a . s ɪ . t͡lʰ a . b ɪ . l ʊ . ŋ
batsweletsi	b a . t͡sʼ w ɪ . l ɪ . t͡sʼ i
batswelwamosola	b a . t͡sʼ w ɪ . l w a . m ʊ . s ʊ . l a
batsweretshi	b a . t͡sʼ w ɪ . r ɪ . t͡sʰ i
baya	b a . j a
bayang	b a . j a . ŋ
bebofatsang	b ɪ . b ʊ . f a . t͡sʼ a . ŋ
bedi	b ɪ . d i
bedileng	b ɪ . d i . l ɪ . ŋ
bedisitsweng	b ɪ . d i . s i . t͡sʼ w ɪ . ŋ
bediwa	b ɪ . d i . w a
bediwang	b ɪ . d i . w a . ŋ
bee	b ɪ . ɪ
beela	b ɪ . ɪ . l a
beele	b ɪ . ɪ . l ɪ
beeleditse	b ɪ . ɪ . l ɪ . d i . t͡sʼ ɪ
beeleditswe	b ɪ . ɪ . l ɪ . d i . t͡sʼ w ɪ
beeleditsweng	b ɪ . ɪ . l ɪ . d i . t͡sʼ w ɪ . ŋ
beelediwa	b ɪ . ɪ . l ɪ . d i . w a
beelediwe	b ɪ . ɪ . l ɪ . d i . w ɪ
beeletsa	b ɪ . ɪ . l ɪ . t͡sʼ a
beeletse	b ɪ . ɪ . l ɪ . t͡sʼ ɪ
beeletseng	b ɪ . ɪ . l ɪ . t͡sʼ ɪ . ŋ
beeletswa	b ɪ . ɪ . l ɪ . t͡sʼ w a
beeletswang	b ɪ . ɪ . l ɪ . t͡sʼ w a . ŋ
beelwa	b ɪ . ɪ . l w a
beelwe	b ɪ . ɪ . l w ɪ
beetse	b ɪ . ɪ . t͡sʼ ɪ
beetswe	b ɪ . ɪ . t͡sʼ w ɪ
beetsweng	b ɪ . ɪ . t͡sʼ w ɪ . ŋ
befileng	b ɪ . f i . l ɪ . ŋ
bega	b ɪ . x a
begang	b ɪ . x a . ŋ
begela	b ɪ . x ɪ . l a
begele	b ɪ . x ɪ . l ɪ
begelela	b ɪ . x ɪ . l ɪ . l a
begelwa	b ɪ . x ɪ . l w a
begile	b ɪ . x i . l ɪ
begilwe	b ɪ . x i . l w ɪ
begilweng	b ɪ . x i . l w ɪ . ŋ
begiwang	b ɪ . x i . w a . ŋ
begwang	b ɪ . x w a . ŋ
beibeleng	b ɪ . i . b ɪ . l ɪ . ŋ
beile	b ɪ . i . l ɪ
beileng	b ɪ . i . l ɪ . ŋ
beilwe	b ɪ . i . l w ɪ
beilweng	b ɪ . i . l w ɪ . ŋ
beiti	b ɪ . i . tʼ i
beiwang	b ɪ . i . w a . ŋ
beke	b ɪ . kʼ ɪ
bekeng	b ɪ . kʼ ɪ . ŋ
bela	b ɪ . l a
belaela	b ɪ . l a . ɪ . l a
belaelang	b ɪ . l a . ɪ . l a . ŋ
belaele	b ɪ . l a . ɪ . l ɪ
belaeleng	b ɪ . l a . ɪ . l ɪ . ŋ
belaelwa	b ɪ . l a . ɪ . l w a
belaelwang	b ɪ . l a . ɪ . l w a . ŋ
belaetsang	b ɪ . l a . ɪ . t͡sʼ a . ŋ
belaetse	b ɪ . l a . ɪ . t͡sʼ ɪ
belang	b ɪ . l a . ŋ
belega	b ɪ . l ɪ . x a
belegela	b ɪ . l ɪ . x ɪ . l a
belegelwa	b ɪ . l ɪ . x ɪ . l w a
belegeng	b ɪ . l ɪ . x ɪ . ŋ
belegetswe	b ɪ . l ɪ . x ɪ . t͡sʼ w ɪ
belelang	b ɪ . l ɪ . l a . ŋ
beleseditswe	b ɪ . l ɪ . s ɪ . d i . t͡sʼ w ɪ
belesediwa	b ɪ . l ɪ . s ɪ . d i . w a
beletsa	b ɪ . l ɪ . t͡sʼ a
beng	b ɪ . ŋ
benteng	b ɪ . n . tʼ ɪ . ŋ
bentsha	b ɪ . n . t͡sʰ a
bereka	b ɪ . r ɪ . kʼ a
berekana	b ɪ . r ɪ . kʼ a . n a
berekang	b ɪ . r ɪ . kʼ a . ŋ
berekela	b ɪ . r ɪ . kʼ ɪ . l a
berekelang	b ɪ . r ɪ . kʼ ɪ . l a . ŋ
bese	b ɪ . s ɪ
beseng	b ɪ . s ɪ . ŋ
betelelwa	b ɪ . tʼ ɪ . l ɪ . l w a
bethele	b ɪ . tʰ ɪ . l ɪ
betile	b ɪ . tʼ i . l ɪ
betla	b ɪ . t͡lʼ a
betleng	b ɪ . t͡lʼ ɪ . ŋ
betlilwe	b ɪ . t͡lʼ i . l w ɪ
betlilweng	b ɪ . t͡lʼ i . l w ɪ . ŋ
betologa	b ɪ . tʼ ʊ . l ʊ . x a
betologang	b ɪ . tʼ ʊ . l ʊ . x a . ŋ
betsa	b ɪ . t͡sʼ a
betsega	b ɪ . t͡sʼ ɪ . x a
betsho	b ɪ . t͡sʰ ʊ
betshong	b ɪ . t͡sʰ ʊ . ŋ
betsi	b ɪ . t͡sʼ i
betswe	b ɪ . t͡sʼ w ɪ
betwa	b ɪ . tʼ w a
bewa	b ɪ . w a
biditse	b i . d i . t͡sʼ ɪ
biditswe	b i . d i . t͡sʼ w ɪ
biditsweng	b i . d i . t͡sʼ w ɪ . ŋ
bidiwa	b i . d i . w a
bidiwang	b i . d i . w a . ŋ
bidiwe	b i . d i . w ɪ
bikanyego	b i . kʼ a . ɲ ɪ . x ʊ
bile	b i . l ɪ
bileditsweng	b i . l ɪ . d i . t͡sʼ w ɪ . ŋ
bileng	b i . l ɪ . ŋ
biletsa	b i . l ɪ . t͡sʼ a
bina	b i . n a
bipa	b i . pʼ a
bithuti	b i . tʰ u . tʼ i
bitsa	b i . t͡sʼ a
bitsang	b i . t͡sʼ a . ŋ
bitse	b i . t͡sʼ ɪ
bitswa	b i . t͡sʼ w a
bitswang	b i . t͡sʼ w a . ŋ
boa	b ʊ . a
boaforika	b ʊ . a . f ʊ . r i . kʼ a
boagisaning	b ʊ . a . x i . s a . n i . ŋ
boagisanyi	b ʊ . a . x i . s a . ɲ i
boago	b ʊ . a . x ʊ
boagong	b ʊ . a . x ʊ . ŋ
boaka	b ʊ . a . kʼ a
boakanyi	b ʊ . a . kʼ a . ɲ i
boakaretsi	b ʊ . a . kʼ a . r ɪ . t͡sʼ i
boalo	b ʊ . a . l ʊ
boalogane	b ʊ . a . l ʊ . x a . n ɪ
boalogodimo	b ʊ . a . l ʊ . x ʊ . d i . m ʊ
boalogodimong	b ʊ . a . l ʊ . x ʊ . d i . m ʊ . ŋ
boalong	b ʊ . a . l ʊ . ŋ
boalopeong	b ʊ . a . l ʊ . pʼ ɪ . ʊ . ŋ
boalothulaganyo	b ʊ . a . l ʊ . tʰ u . l a . x a . ɲ ʊ
boalotlase	b ʊ . a . l ʊ . t͡lʼ a . s ɪ
boammaaruri	b ʊ . a . m . m a . a . r u . r i
boanamo	b ʊ . a . n a . m ʊ
boanedi	b ʊ . a . n ɪ . d i
boang	b ʊ . a . ŋ
boapeelo	b ʊ . a . pʼ ɪ . ɪ . l ʊ
boapeelong	b ʊ . a . pʼ ɪ . ɪ . l ʊ . ŋ
boatla	b ʊ . a . t͡lʼ a
boatleng	b ʊ . a . t͡lʼ ɪ . ŋ
boatlhamo	b ʊ . a . t͡lʰ a . m ʊ
boatlhodi	b ʊ . a . t͡lʰ ʊ . d i
boatlhoding	b ʊ . a . t͡lʰ ʊ . d i . ŋ
bobaba	b ʊ . b a . b a
bobalatlotlo	b ʊ . b a . l a . t͡lʼ ʊ . t͡lʼ ʊ
bobapatsi	b ʊ . b a . pʼ a . t͡sʼ i
bobatlisisi	b ʊ . b a . t͡lʼ i . s i . s i
bobe	b ʊ . b ɪ
bobedi	b ʊ . b ɪ . d i
bobeding	b ʊ . b ɪ . d i . ŋ
bobegadikgang	b ʊ . b ɪ . x a . d i . k͡x a . ŋ
bobegakga	b ʊ . b ɪ . x a . k͡x a
bobegakgang	b ʊ . b ɪ . x a . k͡x a . ŋ
bobegakgannye	b ʊ . b ɪ . x a . k͡x a . n . ɲ ɪ
bobegi	b ʊ . b ɪ . x i
bobekgannyeng	b ʊ . b ɪ . k͡x a . n . ɲ ɪ . ŋ
bobelegising	b ʊ . b ɪ . l ɪ . x i . s i . ŋ
bobelotlhomogi	b ʊ . b ɪ . l ʊ . t͡lʰ ʊ . m ʊ . x i
bobi	b ʊ . b i
boboatsatsi	b ʊ . b ʊ . a . t͡sʼ a . t͡sʼ i
bobogelong	b ʊ . b ʊ . x ɪ . l ʊ . ŋ
boboko	b ʊ . b ʊ . kʼ ʊ
bobola	b ʊ . b ʊ . l a
bobolang	b ʊ . b ʊ . l a . ŋ
bobolokelo	b ʊ . b ʊ . l ʊ . kʼ ɪ . l ʊ
bobolokelong	b ʊ . b ʊ . l ʊ . kʼ ɪ . l ʊ . ŋ
bobona	b ʊ . b ʊ . n a
bobone	b ʊ . b ʊ . n ɪ
bobopi	b ʊ . b ʊ . pʼ i
bobotlana	b ʊ . b ʊ . t͡lʼ a . n a
bobueledi	b ʊ . b u . ɪ . l ɪ . d i
bodiba	b ʊ . d i . b a
bodibeng	b ʊ . d i . b ɪ . ŋ
bodi	b ʊ . d i
bodila	b ʊ . d i . l a
bodileng	b ʊ . d i . l ɪ . ŋ
bodilo	b ʊ . d i . l ʊ
bodilong	b ʊ . d i . l ʊ . ŋ
bodipolomate	b ʊ . d i . pʼ ʊ . l ʊ . m a . tʼ ɪ
bodiragatsi	b ʊ . d i . r a . x a . t͡sʼ i
bodiredi	b ʊ . d i . r ɪ . d i
bodiredipuso	b ʊ . d i . r ɪ . d i . pʼ u . s ʊ
bodiredipusong	b ʊ . d i . r ɪ . d i . pʼ u . s ʊ . ŋ
bodirelo	b ʊ . d i . r ɪ . l ʊ
bodirelong	b ʊ . d i . r ɪ . l ʊ . ŋ
bodiri	b ʊ . d i . r i
bodirisani	b ʊ . d i . r i . s a . n i
bodirisi	b ʊ . d i . r i . s i
bodisa	b ʊ . d i . s a
bodise	b ʊ . d i . s ɪ
boditse	b ʊ . d i . t͡sʼ ɪ
boditshaba	b ʊ . d i . t͡sʰ a . b a
boditšhaba	b ʊ . d i . t͡ʃʰ a . b a
boditshabatshaba	b ʊ . d i . t͡sʰ a . b a . t͡sʰ a . b a
boditšhabatšhaba	b ʊ . d i . t͡ʃʰ a . b a . t͡ʃʰ a . b a
boditšhabatšhabeng	b ʊ . d i . t͡ʃʰ a . b a . t͡ʃʰ a . b ɪ . ŋ
boditšhabatšha	b ʊ . d i . t͡ʃʰ a . b a . t͡ʃʰ a
boditšhatšhaba	b ʊ . d i . t͡ʃʰ a . t͡ʃʰ a . b a
boditswe	b ʊ . d i . t͡sʼ w ɪ
boditsweng	b ʊ . d i . t͡sʼ w ɪ . ŋ
bodiwa	b ʊ . d i . w a
bodiwang	b ʊ . d i . w a . ŋ
boduagana	b ʊ . d u . a . x a . n a
bodulasetulo	b ʊ . d u . l a . s ɪ . tʼ u . l ʊ
bodumedi	b ʊ . d u . m ɪ . d i
bodumeding	b ʊ . d u . m ɪ . d i . ŋ
bodutelo	b ʊ . d u . tʼ ɪ . l ʊ
bodutiso	b ʊ . d u . tʼ i . s ʊ
bodutu	b ʊ . d u . tʼ u
boe	b ʊ . ɪ
boela	b ʊ . ɪ . l a
boelang	b ʊ . ɪ . l a . ŋ
boelanya	b ʊ . ɪ . l a . ɲ a
boele	b ʊ . ɪ . l ɪ
boeleditse	b ʊ . ɪ . l ɪ . d i . t͡sʼ ɪ
boelediwa	b ʊ . ɪ . l ɪ . d i . w a
boelediwang	b ʊ . ɪ . l ɪ . d i . w a . ŋ
boeleele	b ʊ . ɪ . l ɪ . ɪ . l ɪ
boelelang	b ʊ . ɪ . l ɪ . l a . ŋ
boeleng	b ʊ . ɪ . l ɪ . ŋ
boeletsa	b ʊ . ɪ . l ɪ . t͡sʼ a
boeletse	b ʊ . ɪ . l ɪ . t͡sʼ ɪ
boelwa	b ʊ . ɪ . l w a
boelwe	b ʊ . ɪ . l w ɪ
boemedi	b ʊ . ɪ . m ɪ . d i
boemela	b ʊ . ɪ . m ɪ . l a
boemelong	b ʊ . ɪ . m ɪ . l ʊ . ŋ
boemeng	b ʊ . ɪ . m ɪ . ŋ
boemo	b ʊ . ɪ . m ʊ
boemong	b ʊ . ɪ . m ʊ . ŋ
boena	b ʊ . ɪ . n a
boeng	b ʊ . ɪ . ŋ
boetapele	b ʊ . ɪ . tʼ a . pʼ ɪ . l ɪ
boeteledipele	b ʊ . ɪ . tʼ ɪ . l ɪ . d i . pʼ ɪ . l ɪ
boeteledipeleng	b ʊ . ɪ . tʼ ɪ . l ɪ . d i . pʼ ɪ . l ɪ . ŋ
boetse	b ʊ . ɪ . t͡sʼ ɪ
bofaganya	b ʊ . f a . x a . ɲ a
bofang	b ʊ . f a . ŋ
bofefo	b ʊ . f ɪ . f ʊ
bofegile	b ʊ . f ɪ . x i . l ɪ
bofelelo	b ʊ . f ɪ . l ɪ . l ʊ
bofelelwa	b ʊ . f ɪ . l ɪ . l w a
bofelo	b ʊ . f ɪ . l ʊ
bofelofelo	b ʊ . f ɪ . l ʊ . f ɪ . l ʊ
bofelong	b ʊ . f ɪ . l ʊ . ŋ
boferefere	b ʊ . f ɪ . r ɪ . f ɪ . r ɪ
bofetoledi	b ʊ . f ɪ . tʼ ʊ . l ɪ . d i
bofilwe	b ʊ . f i . l w ɪ
bofitlha	b ʊ . f i . t͡lʰ a
bofiwang	b ʊ . f i . w a . ŋ
bofofu	b ʊ . f ʊ . f u
bofologa	b ʊ . f ʊ . l ʊ . x a
bofologileng	b ʊ . f ʊ . l ʊ . x i . l ɪ . ŋ
bofolola	b ʊ . f ʊ . l ʊ . l a
bofolotse	b ʊ . f ʊ . l ʊ . t͡sʼ ɪ
boga	b ʊ . x a
bogadi	b ʊ . x a . d i
bogagapa	b ʊ . x a . x a . pʼ a
bogaka	b ʊ . x a . kʼ a
bogakolodi	b ʊ . x a . kʼ ʊ . l ʊ . d i
bogale	b ʊ . x a . l ɪ
bogaleng	b ʊ . x a . l ɪ . ŋ
bogamelo	b ʊ . x a . m ɪ . l ʊ
bogammana	b ʊ . x a . m . m a . n a
boganka	b ʊ . x a . n . kʼ a
bogapa	b ʊ . x a . pʼ a
bogare	b ʊ . x a . r ɪ
bogareng	b ʊ . x a . r ɪ . ŋ
bogasi	b ʊ . x a . s i
bogasintsi	b ʊ . x a . s i . n . t͡sʼ i
bogatlapa	b ʊ . x a . t͡lʼ a . pʼ a
bogato	b ʊ . x a . tʼ ʊ
bogatsu	b ʊ . x a . t͡sʼ u
