ababalulekile	ababa{lulek}ile
awuzozwa	awuz{ozwa}
axoxe	a{xox}e
aya	ay{a}
ayasebenza	ayas{ebenza}
ayasebenzisana	ayas{ebenzis}ana
ayasetshenziswa	ayas{etshenziswa}
ayazi	ayaz{i}
ayaziyo	ayazi{yo}
aye	ay{e}
ayehamba	aye{hamba}
ayehambisana	aye{hambis}ana
ayehlala	aye{hlala}
ayehlezi	aye{hlezi}
ayekade	ayek{ade}
ayelokhu	aye{lokhu}
ayenze	ayen{ze}
ayenziwa	ayen{ziwa}
ayesebenza	ayes{ebenza}
ayesethi	ayes{ethi}
ayesetshenziswa	ayes{etshenziswa}
ayesezithathela	ayes{ezithathela}
ayesisebenzisa	ayesi{sebenzisa}
ayibona	ayi{bona}
ayibonayo	ay{ibona}yo
ayifundile	ayi{fund}ile
ayikho	ayik{ho}
ayingxenye	aying{xenye}
ayisebenzi	ayis{ebenzi}
ayisebenzise	ayis{ebenzise}
ayisebenzisi	ayis{ebenzisi}
ayisekho	ayis{ekho}
ayisikhombisa	ayisi{khombisa}
ayithathe	ayi{thath}e
ayithathwa	ayi{thathwa}
ayithola	ayi{thola}
ayitholakali	ayi{tholakali}
ayizange	ayiz{ange}
ayizinhlobo	ayizin{hlobo}
ayizinkulungwane	ayizin{kulungw}ane
ayizwe	ayiz{we}
ayo	ay{o}
ayobona	ayo{bona}
ayofuna	ayo{funa}
ayofundisa	ayo{fundisa}
azame	aza{m}e
aze	az{e}
azi	az{i}
azibonele	azibo{nel}e
azikho	azi{kho}
azikhulumele	azi{khulumel}e
azisebenzi	azi{sebenzi}
azisebenzisa	azi{sebenzisa}
azisebenzise	azi{sebenzis}e
azithathele	azi{thathel}e
azithathile	azi{thath}ile
azithole	azi{thol}e
azitholele	azi{tholel}e
azitshele	azi{tshel}e
azo	az{o}
baba	ba{ba}
babafundi	baba{fundi}
babakhona	baba{khona}
babaleka	baba{leka}
babalulekile	baba{lulek}ile
babantu	baba{ntu}
babantwana	baba{ntw}ana
babaphathi	baba{phathi}
babasebenzi	baba{sebenzi}
babathathe	baba{thath}e
babe	ba{b}e
babekhona	babe{khona}
babengabantu	babe{ngabantu}
babengakwazi	babe{ngakwazi}
babesebenza	babe{sebenza}
babesebenzisa	babe{sebenzisa}
babethi	babe{thi}
babetholakala	babe{tholakala}
babhala	ba{bhala}
babhale	ba{bhal}e
babhalele	ba{bhalel}e
babhali	ba{bhali}
babheka	ba{bheka}
babheke	ba{bhek}e
babhekele	ba{bhekel}e
babhekelele	ba{bhekelel}e
babhekene	ba{bheken}e
babili	ba{bili}
babo	babo
babona	babo{na}
babonakala	babo{nakala}
babonakale	babo{nakal}e
babone	babo{n}e
babonelela	babo{nelela}
babonelele	babo{nelel}e
babuya	babu{ya}
babuye	babu{y}e
bacabanga	ba{cabanga}
bacele	ba{cel}e
bachitha	ba{chitha}
bachithe	ba{chith}e
badala	ba{dala}
badinga	ba{dinga}
badingeka	ba{dingeka}
badla	ba{dla}
badlala	ba{dlala}
badle	ba{dl}e
bafa	ba{fa}
bafake	ba{fak}e
bafana	ba{f}ana
bafanele	ba{fanel}e
bafaneleke	ba{fanelek}e
bafeze	ba{fez}e
bafika	ba{fika}
bafike	ba{fik}e
bafuna	ba{funa}
bafunda	ba{funda}
bafunde	ba{fund}e
bafundi	ba{fundi}
bafundile	ba{fund}ile
bafundisani	{bafundis}ani
bafundise	ba{fundis}e
bafundisiwe	ba{fundisiw}e
bafundiswa	ba{fundiswa}
bafundiswe	ba{fundisw}e
bafune	ba{fun}e
bagcine	ba{gcin}e
bahamba	ba{hamba}
bahambe	ba{hamb}e
bahambile	ba{hamb}ile
bahambisane	ba{hambis}ane
bahlala	ba{hlala}
bahlalaphi	ba{hlalaphi}
bahlale	ba{hlal}e
bahlangana	ba{hlang}ana
bahlangane	ba{hlang}ane
bahlanganele	ba{hlanganel}e
bahlangene	ba{hlangen}e
bahleka	ba{hleka}
bahlela	ba{hlela}
bahlele	ba{hlel}e
bahlelekile	ba{hlelek}ile
bahlelelwe	ba{hlelelw}e
bahlelwe	ba{hlelw}e
bahluleka	ba{hluleka}
bahlulekile	ba{hlulek}ile
bahlupheka	ba{hlupheka}
bahola	ba{hola}
bahulumeni	ba{hulumeni}
bajika	ba{jika}
bajwayele	ba{jwayel}e
bakahulumeni	baka{hulumeni}
bakhala	bak{hala}
bakhathazwa	bak{hathazwa}
bakhe	bak{he}
bakhethe	bak{hethe}
bakhethwa	bak{hethwa}
bakhethwe	bak{hethwe}
bakhishwa	bak{hishwa}
bakho	bakho
bakholwa	bak{holwa}
bakhomba	bak{homba}
bakhombisa	bak{hombisa}
bakhona	bak{hona}
bakhule	bak{hule}
bakhulu	bak{hulu}
bakhululeke	bak{hululeke}
bakhululekile	ba{khululek}ile
bakhuluma	bak{huluma}
bakhulume	bak{hulume}
bakhumbula	bak{humbula}
baklabalasa	bak{labalasa}
baklabalase	bak{labalase}
baklebhula	bak{lebhula}
bakubo	baku{bo}
bakubona	baku{bona}
bakufundise	baku{fundis}e
bakuthola	baku{thola}
bakutshele	baku{tshel}e
bakwamanye	bakwa{manye}
bakwazi	bakwa{zi}
bakwenza	bakw{enza}
bakwethu	bakw{ethu}
balala	balal{a}
balale	balal{e}
balapha	bala{pha}
balethe	bale{the}
balinda	bali{nda}
balinde	bali{nd}e
balo	balo
balukhulume	balu{khulum}e
balungisa	balu{ngisa}
balusebenzise	balu{sebenzis}e
balusebenzisele	balu{sebenzisel}e
bamaphephandaba	bama{phephandaba}
bambona	bam{bona}
bami	bami
bamngenisa	bam{ngenisa}
bamthatha	bam{thatha}
bamtshela	bam{tshela}
bandla	ban{dla}
banelungelo	banelu{ngelo}
banezincwadi	banezin{cwadi}
bangaba	banga{ba}
bangabafundi	bangaba{fundi}
bangabamba	bangaba{mba}
bangabanikelayo	bangaba{nikelayo}
bangabantu	bangaba{ntu}
bangabasebenzi	bangaba{sebenzi}
bangabathakathi	bangaba{thakathi}
bangabe	banga{be}
bangabeka	bangabe{ka}
bangabheka	banga{bheka}
bangabona	banga{bona}
bangabonakala	banga{bonakala}
bangafika	banga{fika}
bangafunda	banga{funda}
bangahambi	banga{hambi}
bangahlala	banga{hlala}
bangahlangabeza	banga{hlangabeza}
bangahlangana	banga{hlang}ana
bangahle	banga{hle}
bangakhetha	bangak{hetha}
bangakhethi	bangak{hethi}
bangakhipha	bangak{hipha}
bangakhiphi	bangak{hiphi}
bangakhishwa	bangak{hishwa}
bangakhuluma	bangak{huluma}
bangakwazi	bangakw{azi}
bangakwenza	bangakw{enza}
bangalokothi	bangalok{othi}
bangamakhulu	bangama{khulu}
bangamalunga	bangama{lunga}
bangamalungu	bangama{lungu}
bangane	bangan{e}
bangangena	bangan{gena}
bangangenwa	bangan{genwa}
banganikwa	bangan{ikwa}
bangapha	banga{pha}
bangaphakathi	banga{phakathi}
bangaphambilini	banga{phambilini}
bangaphandle	banga{phandle}
bangaphezu	banga{phezu}
bangaphezulu	banga{phezulu}
bangaphinde	banga{phinde}
bangaphindi	banga{phindi}
bangaphuma	banga{phuma}
bangaphumeleli	banga{phumeleli}
bangaqala	banga{qala}
bangaqhubeka	banga{qhubeka}
bangase	bangas{e}
bangasebenzi	bangas{ebenzi}
bangasebenzisa	bangas{ebenzisa}
bangasebenzisi	bangas{ebenzisi}
bangasho	bangas{ho}
bangathanda	banga{thanda}
bangathatha	banga{thatha}
bangathathi	banga{thathi}
bangathathwa	banga{thathwa}
bangathi	banga{thi}
bangathini	banga{thini}
bangathola	banga{thola}
bangathula	banga{thula}
bangawasebenzisa	bangawas{ebenzisa}
bangayithola	bangay{ithola}
bangaze	bangaz{e}
bangazikhethela	bangazi{khethela}
bangazithola	bangazi{thola}
bangazivikela	bangazi{vikela}
bangazizwa	bangazi{zwa}
bangeke	bangek{e}
bangempela	bangem{pela}
bangena	bangen{a}
bangenwa	bangen{wa}
bangenwe	bangen{we}
bangenza	bangen{za}
bangitshela	bangi{tshela}
bangitshele	bangi{tshel}e
bani	bani
banikwe	banikw{e}
baningi	banin{gi}
banomsebenzi	banom{sebenzi}
bantu	ban{tu}
bantwana	ban{tw}ana
baphakathi	ba{phakathi}
baphambilini	ba{phambilini}
baphatha	ba{phatha}
baphathe	ba{phath}e
baphathekile	ba{phathek}ile
baphathi	ba{phathi}
baphathwa	ba{phathwa}
baphathwe	ba{phathw}e
baphelelwe	ba{phelelw}e
baphenduka	ba{phenduka}
baphendula	ba{phendula}
baphethe	ba{pheth}e
baphethwe	ba{phethw}e
baphila	ba{phila}
baphile	ba{ph}ile
baphinda	ba{phinda}
baphinde	ba{phind}e
baphindela	ba{phindela}
baphindile	ba{phind}ile
baphuma	ba{phuma}
baphume	ba{phum}e
baphumelela	ba{phumelela}
baphumelele	ba{phumelel}e
baqala	ba{qala}
baqale	ba{qal}e
baqaphela	ba{qaphela}
baqaphele	ba{qaphel}e
baqaphile	ba{qaph}ile
baqhubeka	ba{qhubeka}
baqhubeke	ba{qhubek}e
baqhubekela	ba{qhubekela}
baqhubekele	ba{qhubekel}e
baqikelele	ba{qikelel}e
baqinisa	ba{qinisa}
baqinisile	ba{qinis}ile
baqonda	ba{qonda}
baqonde	ba{qond}e
baqondisa	ba{qondisa}
base	bas{e}
basebenza	basebe{nza}
basebenze	basebe{nze}
basebenzela	basebe{nzela}
basebenzele	basebe{nzele}
basebenzi	basebe{nzi}
basebenzisa	basebe{nzisa}
basebenzisana	basebe{nzis}ana
basebenzisane	basebe{nzis}ane
basebenzise	basebe{nzise}
basebenzisi	basebe{nzisi}
basekhaya	basek{haya}
basekuqaleni	baseku{qal}eni
basemadolobheni	basema{dolobh}eni
basemahlathini	basema{hlath}ini
basemakhaya	basema{khaya}
basemaphandleni	basema{phandl}eni
basemiphakathini	basemi{phakath}ini
basemnyangweni	basem{nyangw}eni
basemphakathini	basem{phakath}ini
basemsebenzini	basem{sebenz}ini
basesifundeni	basesi{fund}eni
basetshenziswe	bas{etshenziswe}
bashaya	bas{haya}
basheshe	bas{heshe}
basho	bas{ho}
bashona	bas{hona}
basize	basi{z}e
baso	baso
basuka	bas{uka}
basuke	bas{uke}
bathanda	ba{thanda}
bathandana	ba{thand}ana
bathande	ba{thand}e
bathatha	ba{thatha}
bathathe	ba{thath}e
bathathela	ba{thathela}
bathathwa	ba{thathwa}
bathathwe	ba{thathw}e
bathe	ba{th}e
bathele	ba{thel}e
batheleka	ba{theleka}
bathemba	ba{themba}
bathembisa	ba{thembisa}
bathi	ba{thi}
bathini	ba{thini}
bathola	ba{thola}
batholakala	ba{tholakala}
bathole	ba{thol}e
batholwa	ba{tholwa}
bathukuthele	ba{thukuthel}e
bathula	ba{thula}
bathumela	ba{thumela}
bathumele	ba{thumel}e
bathuthuka	ba{thuthuka}
bathuthuke	ba{thuthuk}e
bathuthukise	ba{thuthukis}e
bathuthukiswa	ba{thuthukiswa}
bathuthukiswe	ba{thuthukisw}e
bavele	ba{vel}e
bavuke	ba{vuk}e
bavuma	ba{vuma}
bavumelana	ba{vumel}ana
bavumele	ba{vumel}e
bavumelekile	ba{vumelek}ile
bawelele	bawe{lele}
bawo	bawo
baxoxa	ba{xoxa}
baxoxe	ba{xox}e
baya	bay{a}
bayafa	baya{fa}
bayagula	baya{gula}
bayahambisana	bay{ahambis}ana
bayakwazi	bayakw{azi}
bayasebenza	bayas{ebenza}
bayazivikela	bayazi{vikela}
baye	baye
bayehluleka	baye{hluleka}
bayibona	bayi{bona}
bayifunde	bayi{fund}e
bayingxenye	bayin{gxenye}
bayithatha	bayi{thatha}
bayizinhlangano	bayizin{hlangano}
bayobe	bayo{b}e
bayofunda	bayo{funda}
bayosithela	bayosi{thela}
bayothola	bayo{thola}
bayotholakala	bayo{tholakala}
baze	baz{e}
bazi	baz{i}
bazibona	bazi{bona}
bazibonele	bazi{bonel}e
bazimisele	bazim{isele}
bazisebenze	bazi{sebenz}e
bazisebenzise	bazi{sebenzis}e
bazithathe	bazi{thath}e
bazithathele	bazi{thathel}e
bazithola	bazi{thola}
bazitholele	bazi{tholel}e
bazizwa	bazi{zwa}
bazo	bazo
bazokufa	bazoku{fa}
bazotholakala	bazo{tholakala}
bebalulekile	beba{lulek}ile
bebanga	beba{nga}
bebangakwazi	beba{ngakwazi}
bebangazi	beba{ngazi}
bebe	be{b}e
bebeke	bebe{ke}
bebengakwazi	bebe{ngakwazi}
bebengekho	bebe{ngekho}
bebenza	bebe{nza}
bebesaphila	bebe{saphila}
bebesebenza	bebe{sebenza}
bebhala	be{bhala}
bebodwa	bebo{dwa}
bebona	bebo{na}
bedinga	be{dinga}
befa	be{fa}
befanele	be{fanel}e
befika	be{fika}
befuna	be{funa}
befunda	be{funda}
befundela	be{fundela}
befundisa	be{fundisa}
behamba	be{hamba}
behambisana	be{hambis}ana
behlala	be{hlala}
behlezi	be{hlezi}
behluleka	be{hluleka}
beholwa	be{holwa}
bejwayele	be{jwayel}e
bejwayelene	be{jwayelen}e
bejwayezwe	be{jwayezw}e
bekhombisa	bek{hombisa}
bekhona	bek{hona}
bekhululekile	be{khululek}ile
bekhuluma	bek{huluma}
bekhulumela	bek{hulumela}
bekungumsebenzi	bekun{gumsebenzi}
bekusebenza	beku{sebenza}
bekusetshenziswa	beku{setshenziswa}
bekwenzeka	bekw{enzeka}
bekwenziwa	bekw{enziwa}
belele	belel{e}
belindele	beli{ndel}e
belingasebenzi	beli{ngasebenzi}
belokhu	belokh{u}
belu	be{lu}
beluleka	belu{leka}
bema	bem{a}
bemiphakathi	bemi{phakathi}
bemisebenzi	bemi{sebenzi}
bempilo	bem{pilo}
bendabuko	ben{dabuko}
bendawo	ben{dawo}
bengabangani	bengaba{ngani}
bengabantu	bengaba{ntu}
bengakwazi	bengakwa{zi}
bengamalungu	bengama{lungu}
bengathatheka	benga{thatheka}
bengathola	benga{thola}
bengatholakali	benga{tholakali}
bengazelele	bengaz{elele}
bengazi	bengaz{i}
bengcono	beng{cono}
bengekho	bengek{ho}
bengibona	bengi{bona}
bengicabanga	bengi{cabanga}
bengicela	bengi{cela}
bengifuna	bengi{funa}
bengikhona	bengik{hona}
bengikuthatha	bengiku{thatha}
bengikutshela	bengiku{tshela}
bengikwenziswa	bengikw{enziswa}
bengilokhu	bengi{lokhu}
bengingakwazi	bengin{gakwazi}
bengingamazi	bengin{gamazi}
bengingathanda	bengin{gathanda}
bengingazi	bengin{gazi}
bengingekho	bengin{gekho}
bengiqonde	bengi{qond}e
bengisho	bengis{ho}
bengithanda	bengi{thanda}
bengithi	bengi{thi}
bengitshela	bengi{tshela}
bengizothi	bengiz{othi}
bengqondo	beng{qondo}
benu	ben{u}
benza	ben{za}
benze	ben{ze}
benzeka	ben{zeka}
benzeni	ben{z}eni
benzi	ben{zi}
benzisa	ben{zisa}
benzise	ben{zise}
benziwe	ben{ziwe}
beqala	be{qala}
beqeda	be{qeda}
beqhubeka	be{qhubeka}
beqonde	be{qond}e
besakhuluma	besa{khuluma}
besaxoxa	besa{xoxa}
besebenza	bes{ebenza}
besebenze	bes{ebenze}
besebenzela	bes{ebenzela}
besebenzisa	bes{ebenzisa}
besebenzisana	bes{ebenzis}ana
besebenzisane	bes{ebenzis}ane
bese	bes{e}
besemisebenzini	bes{emisebenz}ini
besibhedlela	besi{bhedlela}
besibheka	besi{bheka}
besibona	besi{bona}
besifazane	besi{faz}ane
besifunda	besi{funda}
besihlala	besi{hlala}
besikhashana	besi{khash}ana
besikhathi	besi{khathi}
besikole	besi{kol}e
besilisa	besi{lisa}
besingakwazi	besi{ngakwazi}
besisebenzisa	besi{sebenzisa}
besithanda	besi{thanda}
besithathu	besi{thathu}
besuka	bes{uka}
bethatha	be{thatha}
bethemba	be{themba}
bethembisa	be{thembisa}
bethi	be{thi}
bethola	be{thola}
betholakala	be{tholakala}
bethole	be{thol}e
bethu	bethu
bethuka	be{thuka}
bethukile	be{thuk}ile
bethuthuka	be{thuthuka}
bethuthukisa	be{thuthukisa}
bexoxa	be{xoxa}
beya	bey{a}
beza	bez{a}
bezangaphandle	bez{angaphandle}
beze	bez{e}
bezemfundo	bez{emfundo}
bezifunda	bezi{funda}
bezihambisana	bezi{hambis}ana
bezihlala	bezi{hlala}
bezikhulumela	bezi{khulumela}
bezincane	bezin{c}ane
bezincwadi	bezin{cwadi}
bezindawo	bezin{dawo}
bezingane	bezin{g}ane
bezingxenye	bezin{gxenye}
bezinhlanga	bezin{hlanga}
bezinhlangano	bezin{hlangano}
bezinhlanzi	bezin{hlanzi}
bezinhlelo	bezin{hlelo}
bezinhlobo	bezin{hlobo}
bezinkampani	bezin{kampani}
bezinkomo	bezin{komo}
bezinqola	bezin{qola}
bezinsiza	bezin{siza}
bezinsizakusebenza	bezin{sizakusebenza}
bezithathela	bezi{thathela}
bezixoxela	bezi{xoxela}
bezwa	bez{wa}
bezwe	bez{we}
bhala	b{hala}
bhe	b{h}e
bheka	b{heka}
bhuqe	b{huq}e
bobabili	boba{bili}
bodwa	bodwa
bokusebenza	boku{sebenza}
bokusebenzisa	boku{sebenzisa}
bokusebenzisana	boku{sebenzis}ana
bokuthi	boku{thi}
bokutholakala	boku{tholakala}
bokuthuthukisa	boku{thuthukisa}
bokuthuthukiswa	boku{thuthukiswa}
bolimi	boli{mi}
bolwazi	bolw{azi}
bomdabu	bom{dabu}
bomsebenzi	bom{sebenzi}
bona	bona
bonke	bonke
budebuduze	bu{debuduz}e
budedengu	bu{dedengu}
buhambisana	bu{hambis}ana
buka	buk{a}
bukahulumeni	buka{hulumeni}
bunzima	bun{zima}
buthelezi	bu{thelezi}
butholakala	bu{tholakala}
buthula	bu{thula}
buye	buy{e}
cefe	{cefe}
cha	{ch}a
chitha	{chith}a
cishe	{cishe}
cosololo	{cosololo}
cwaka	{cwak}a
dade	{dade}
dadewethu	{dadewethu}
damu	{damu}
dekle	{dekle}
duda	{dud}a
dukuduku	{dukuduku}
ebaleni	eba{l}eni
ebalulekile	ebalu{lek}ile
ebandla	eban{dla}
ebangeni	ebangen{i}
ebantwaneni	eba{ntwan}eni
ebe	e{b}e
ebengizokusho	ebengiz{okusho}
ebesebenzisa	ebe{sebenzisa}
ebese	ebe{s}e
ebezingasebenzi	ebe{zingasebenzi}
ebezisetshenziswa	ebezi{setshenziswa}
ebhala	eb{hala}
ebhalela	eb{halela}
ebhaliwe	eb{haliw}e
ebhalwa	eb{halwa}
ebhalwe	eb{halw}e
ebhantshini	e{bhantshini}
ebheka	eb{heka}
ebheke	eb{hek}e
ebhekela	eb{hekela}
ebhekele	eb{hekel}e
ebhekelela	eb{hekelela}
ebhekelele	eb{hekelel}e
ebhekene	eb{heken}e
ebhekile	eb{hek}ile
ebizwa	eb{izwa}
ebona	ebo{na}
ebonakala	ebo{nakala}
ebuka	ebu{ka}
ebuntwini	ebu{ntw}ini
ebusika	ebusi{ka}
ebusuku	ebu{suku}
ebusweni	ebu{sw}eni
ebuya	ebuy{a}
ebuza	ebu{za}
ecabanga	e{cabang}a
ecashe	e{cash}e
eceleni	e{celeni}
echachile	e{chach}ile
echaza	e{chaz}a
echazayo	e{chaz}ayo
echazwa	e{chazw}a
echazwe	e{chazw}e
edala	e{dal}a
edingekayo	e{dingek}ayo
edla	e{dl}a
edlelweni	e{dlelweni}
edlula	e{dlul}a
edlule	e{dlul}e
edolobheni	e{dolobheni}
eduzane	e{duz}ane
eduze	e{duz}e
efa	e{f}a
efake	e{fak}e
efana	e{f}ana
efanayo	e{fan}ayo
efanele	e{fanel}e
efanelekile	e{fanelek}ile
efika	e{fik}a
efisa	e{fis}a
efuna	e{fun}a
efunda	e{fund}a
efundela	e{fundel}a
efundelwa	e{fundelw}a
efundelwe	e{fundelw}e
efundisa	e{fundis}a
efuthelana	e{futhel}ana
egama	e{gam}a
egazini	e{gazini}
egcekeni	e{gcekeni}
egcina	e{gcin}a
egciwaneni	e{gciwaneni}
egcwele	e{gcwel}e
egeza	e{gez}a
egijima	e{gijim}a
egqolozele	e{gqolozel}e
egula	e{gul}a
ehamba	e{hamb}a
ehambe	e{hamb}e
ehambisa	e{hambis}a
ehambisana	e{hambis}ana
ehambisanayo	e{hambisan}ayo
ehhashini	e{hhashini}
ehhe	e{hh}e
ehholo	e{hholo}
ehhovisi	e{hhovisi}
ehlala	e{hlal}a
ehlanzekile	e{hlanzek}ile
ehlanzeni	e{hlanzeni}
ehlelekile	e{hlelek}ile
ehlelweni	e{hlelweni}
ehlezi	e{hlezi}
ehlola	e{hlol}a
ehlozini	e{hlozini}
ehlukene	e{hluken}e
ehluleka	e{hlulek}a
ehlulekile	e{hlulek}ile
ehlupheka	e{hluphek}a
ehluphekayo	e{hluphek}ayo
ehluphekile	e{hluphek}ile
ejulile	e{jul}ile
ejwayele	e{jwayel}e
ejwayelekile	e{jwayelek}ile
ekade	eka{d}e
ekamelweni	ek{amelw}eni
eke	ek{e}
ekhala	ek{hala}
ekhanda	ek{handa}
ekhathele	ek{hathel}e
ekhaya	ek{haya}
ekhetha	ek{hetha}
ekhipha	ek{hipha}
ekhiphela	ek{hiphela}
ekhishini	ek{hish}ini
ekhokhwa	ek{hokhwa}
ekhomba	ek{homba}
ekhombisa	ek{hombisa}
ekhululeka	ek{hululeka}
ekhululekile	ek{hululek}ile
ekhuluma	ek{huluma}
ekhulumela	ek{hulumela}
ekhulunywa	ek{hulunywa}
ekhumbula	ek{humbula}
ekilasini	ek{ilas}ini
eklasini	ek{las}ini
ekubekweni	eku{bekw}eni
ekubhaleni	eku{bhal}eni
ekubhalwe	eku{bhalw}e
ekubhalweni	eku{bhalw}eni
ekubhekeleleni	eku{bhekelel}eni
ekubhekeleni	eku{bhekel}eni
ekubhekelweni	eku{bhekelw}eni
ekubhekeni	eku{bhek}eni
ekubona	ekubo{na}
ekubumbeni	eku{bumb}eni
ekucabangeni	eku{cabang}eni
ekuchitheni	eku{chith}eni
ekude	eku{d}e
ekudingeka	eku{dingeka}
ekudingisweni	eku{dingisw}eni
ekudleni	eku{dl}eni
ekufakeni	eku{fak}eni
ekufanele	eku{fanel}e
ekufinyelelweni	eku{finyelelw}eni
ekufundeni	eku{fund}eni
ekufundiseni	eku{fundis}eni
ekufundisweni	eku{fundisw}eni
ekufuneka	eku{funeka}
ekugcineni	eku{gcin}eni
ekuguqukeni	eku{guquk}eni
ekuhamba	eku{hamba}
ekuhambeni	eku{hamb}eni
ekuhambisaneni	eku{hambisan}eni
ekuhambiseni	eku{hambis}eni
ekuhlakanipheni	eku{hlakaniph}eni
ekuhlaleni	eku{hlal}eni
ekuhlanganeni	eku{hlangan}eni
ekuhlanganisweni	eku{hlanganisw}eni
ekuhlelekeni	eku{hlelek}eni
ekuhleleleni	eku{hlelel}eni
ekuhleleni	eku{hlel}eni
ekuhlelweni	eku{hlelw}eni
ekuhlolweni	eku{hlolw}eni
ekuhlulekeni	eku{hlulek}eni
ekujuleni	eku{jul}eni
ekukhethweni	eku{khethw}eni
ekukhipheni	eku{khiph}eni
ekukhishweni	eku{khishw}eni
ekukhona	eku{khona}
ekukhuleni	eku{khul}eni
ekukhululweni	eku{khululw}eni
ekukhulumeni	eku{khulum}eni
ekukhulunywa	eku{khulunywa}
ekukhumbuleni	eku{khumbul}eni
ekulungisweni	eku{lungisw}eni
ekulweni	eku{lw}eni
ekungenweni	ekungen{weni}
ekungenzeka	ekungen{zeka}
ekunikweni	ekunikw{eni}
ekuphatheni	eku{phath}eni
ekuphathweni	eku{phathw}eni
ekuphefumuleni	eku{phefumul}eni
ekuphelelisweni	eku{phelelisw}eni
ekuphelelweni	eku{phelelw}eni
ekupheleni	eku{phel}eni
ekuphenduleni	eku{phendul}eni
ekuphepheni	eku{pheph}eni
ekuphethweni	eku{phethw}eni
ekuphileni	eku{phil}eni
ekuphumeleleni	eku{phumelel}eni
ekuphumeni	eku{phum}eni
ekuqala	eku{qala}
ekuqaleni	eku{qal}eni
ekuqapheni	eku{qaph}eni
ekuqeqesheni	eku{qeqesh}eni
ekuqhuba	eku{qhuba}
ekuqhubekeni	eku{qhubek}eni
ekuqikeleleni	eku{qikelel}eni
ekuqokweni	eku{qokw}eni
ekuqondeni	eku{qond}eni
ekusebenzeleni	eku{sebenzel}eni
ekusebenzeni	eku{sebenz}eni
ekusebenzisaneni	eku{sebenzisan}eni
ekusebenziseni	eku{sebenzis}eni
ekusebenzisweni	eku{sebenzisw}eni
ekuseni	eku{s}eni
ekusentshenzisweni	eku{sentshenzisw}eni
ekusetshenzisweni	eku{setshenzisw}eni
ekusetshenzweni	eku{setshenzw}eni
ekushaya	eku{shaya}
ekushayeleni	eku{shayel}eni
ekushayelweni	eku{shayelw}eni
ekushayweni	eku{shayw}eni
ekushintsheni	eku{shintsh}eni
ekusizeni	eku{siz}eni
ekusukeni	eku{suk}eni
ekuthandeni	eku{thand}eni
ekuthatha	eku{thatha}
ekuthatheni	eku{thath}eni
ekuthathweni	eku{thathw}eni
ekutheni	eku{th}eni
ekuthethweni	eku{thethw}eni
ekuthini	eku{th}ini
ekutholakala	eku{tholakala}
ekutholakaleni	eku{tholakal}eni
ekutholeni	eku{thol}eni
ekutholweni	eku{tholw}eni
ekuthumela	eku{thumela}
ekuthumeleni	eku{thumel}eni
ekuthutheni	eku{thuth}eni
ekuthuthukeni	eku{thuthuk}eni
ekuthuthukiseni	eku{thuthukis}eni
ekuthuthukisweni	eku{thuthukisw}eni
ekuvalelweni	eku{valelw}eni
ekuvalweni	eku{valw}eni
ekuvelele	eku{velel}e
ekuveleni	eku{vel}eni
ekuvezeni	eku{vez}eni
ekuvulweni	eku{vulw}eni
ekuvumela	eku{vumela}
ekuvumelayo	eku{vumela}yo
ekuvumeleni	eku{vumel}eni
ekuvumeni	eku{vum}eni
ekuyeni	ekuyen{i}
ekuzivikeleni	eku{zivikel}eni
ekwakheni	ekw{akh}eni
ekwakhiweni	ekw{akhiw}eni
ekwathathwa	ekwa{thathwa}
ekwazi	ekwaz{i}
ekwazisweni	ekwazi{sweni}
ekwenza	ekwen{za}
ekwenzayo	ekwen{zayo}
ekwenzeni	ekw{enz}eni
ekwenziweni	ekw{enziw}eni
elabe	elab{e}
elakhe	elakh{e}
elami	elam{i}
elandela	elan{dela}
elandelayo	ela{ndela}yo
elapha	ela{pha}
elase	elas{e}
elawini	ela{wini}
elele	elel{e}
elibhaliwe	eli{bhaliw}e
elibheka	eli{bheka}
elibhekela	eli{bhekela}
elibhekele	eli{bhekel}e
elibhekelela	eli{bhekelela}
elibhekelele	eli{bhekelel}e
elibonakala	elibo{nakala}
elide	eli{d}e
elihamba	eli{hamba}
elihambisa	eli{hambisa}
elihambisana	eli{hambis}ana
elihlanzekile	eli{hlanzek}ile
elihle	eli{hl}e
elikahulumeni	eli{kahulum}eni
elikhombisa	eli{khombisa}
elikhona	eli{khona}
elikhulu	eli{khulu}
elikhululekile	eli{khululek}ile
elikhuluma	eli{khuluma}
elilandelayo	eli{landela}yo
elilodwa	eli{lodwa}
elilokhu	eli{lokhu}
elimiselwe	elim{iselw}e
elimnandi	eli{mnandi}
elindele	elin{dele}
elindelekile	eli{ndelek}ile
elindelwe	elin{delwe}
elingabakhona	elingaba{khona}
elingabhalwe	elinga{bhalwe}
elingabhekana	elinga{bhek}ana
elingabona	elinga{bona}
elingabonakali	elingabo{nakali}
elingafanele	elinga{fanele}
elingahambisani	elinga{hambisani}
elingakhuluma	elingak{huluma}
elingakwazi	elingakwa{zi}
elingangena	elingangen{a}
elingaphakathi	elinga{phakathi}
elingaphambi	elinga{phambi}
elingaphambili	elinga{phambili}
elingaphandle	elinga{phandle}
elingaphansi	elinga{phansi}
elingaphezu	elinga{phezu}
elingaphezulu	elinga{phezulu}
elingasebenzi	elingas{ebenzi}
elingathatha	elinga{thatha}
elingatholakala	elinga{tholakala}
