a	A:
afnames	a f n A: m @ s
afneem	a f n i@ m
afnemende	a f n i@ m @ n d @
afplat	a f p l a t
afplatting	a f p l a t @ N
afreken	a f r i@ k @ n
afrekening	a f r i@ k @ n @ N
afrig	a f r @ x
afrigter	a f r @ x t @ r
afrigters	a f r @ x t @ r s
afrigtershandleiding	a f r @ x t @ r s h\ a n t l @i d @ N
afrigting	a f r @ x t @ N
afrigtingsdata	a f r @ x t @ N s d A: t a
afrigtingsessies	a f r @ x t @ N s E s i s
afrigtingsituasie	a f r @ x t @ N s @ t S u A: s i
afrigtingsmetodiek	a f r @ x t @ N s m E t u d i k
afrigtingspan	a f r @ x t @ N s p a n
afrikaanse	a f r i k A: n s @
afrikaanssprekende	a f r i k A: n s p r i@ k @ n d @
afrikaanssprekendes	a f r i k A: n s p r i@ k @ n d @ s
afrikaanstalige	a f r i k A: n s t A: l @ x @
afrikaanstaliges	a f r i k A: n s t A: l @ x @ s
afrikaner	a f r i k A: n @ r
afrikaners	a f r i k A: n @ r s
afrikanerskap	a f r i k A: n @ r s k a p
afrikanervolk	a f r i k A: n @ r f O l k
afrit	a f r @ t
afrond	a f r O n t
afronding	a f r O n d @ N
afrosentriese	a f r u s E n t r i s @
afsak	a f s a k
afset	a f s E t
afsetpunte	a f s E t p 9 n t @
afsetting	a f s E t @ N
afsettings	a f s E t @ N s
afsien	a f s i n
afsienbare	a f s i n b A: r @
afskaal	a f s k A: l
afskaf	a f s k a f
afskaffing	a f s k a f @ N
afskaling	a f s k A: l @ N
afskeep	a f s k i@ p
afskei	a f s k @i
afskeid	a f s k @i t
afskeiding	a f s k @i d @ N
afskeidings	a f s k @i d @ N s
afskiet	a f s k i t
afskop	a f s k O p
afskorting	a f s k O r t @ N
afskrif	a f s k r @ f
afskrifte	a f s k r @ f t @
afskrik	a f s k r @ k
afskrikmiddel	a f s k r @ k m @ d @ l
afskryf	a f s k r @i f
afskrywery	a f s k r @i v @ r @i
afskrywing	a f s k r @i v @ N
afskrywings	a f s k r @i v @ N s
afsku	a f s k y
afskud	a f s k 9 t
afskuif	a f s k 9y f
afskuwelike	a f s k y v @ l @ k @
afslaan	a f s l A: n
afslaankap	a f s l A: n k a p
afslaer	a f s l A: @ r
afslag	a f s l a x
afslane	a f s l A: n @
afsluit	a f s l 9y t
afsluiting	a f s l 9y t @ N
afsluitingsfase	a f s l 9y t @ N s f A: s @
afsluitingsproefbalans	a f s l 9y t @ N s p r u f b a l A: n s
afsnit	a f s n @ t
afsny	a f s n @i
afsnydatum	a f s n @i d A: t 9 m
afsnypunt	a f s n @i p 9 n t
afsnytyd	a f s n @i t @i t
afsonder	a f s O n d @ r
afsondering	a f s O n d @ r @ N
afsonderlik	a f s O n d @ r l @ k
afsonderlike	a f s O n d @ r l @ k @
afspeel	a f s p i@ l
afspoel	a f s p u l
afspraak	a f s p r A: k
afsprake	a f s p r A: k @
afspring	a f s p r @ N
afspringplek	a f s p r @ N p l { k
afstaan	a f s t A: n
afstam	a f s t a m
afstammeling	a f s t a m @ l @ N
afstamming	a f s t a m @ N
afstand	a f s t a n t
afstandbeheer	a f s t a n t b @ h\ i@ r
afstanddoening	a f s t a n d u n @ N
afstande	a f s t a n d @
afstandsonderrig	a f s t a n t s O n d @ r @ x
afstandstudente	a f s t a n t s t u d E n t @
afsteek	a f s t i@ k
afstel	a f s t { l
afsterwe	a f s t { r v @
afstof	a f s t O f
afstoot	a f s t u@ t
afstootlik	a f s t u@ t l @ k
afstootlike	a f s t u@ t l @ k @
afstorm	a f s t O r m
afstuur	a f s t y r
afswaai	a f s w A: i
afsweer	a f s w i@ r
afsydig	a f s @i d @ x
afsydigheid	a f s @i d @ x h\ @i t
aftakel	a f t A: k @ l
aftakeling	a f t A: k @ l @ N
aftel	a f t { l
aftog	a f t O x
aftrede	a f t r i@ d @
aftree	a f t r i@
aftreefonds	a f t r i@ f O n t s
aftreefondse	a f t r i@ f O n t s @
aftreehuis	a f t r i@ h\ 9y s
aftreeoord	a f t r i@ u@ r t
aftreevoordele	a f t r i@ f u@ r d i@ l @
aftrek	a f t r { k
aftrekbaar	a f t r { k b A: r
aftrekking	a f t r { k @ N
aftrekkings	a f t r { k @ N s
aftreksel	a f t r { k s @ l
afvaardiging	a f A: r d @ x @ N
afvaardigings	a f A: r d @ x @ N s
afval	a f f a l
afvallig	a f a l @ x
afvallige	a f a l @ x @
afvalmateriaal	a f a l m a t i r i A: l
afvalproduk	a f a l p r u d 9 k
afvalprodukte	a f a l p r u d 9 k t @
afvalstowwe	a f a l s t O v @
afvat	a f a t
afvee	a f i@
afvoer	a f u r
afvra	a f r A:
afvuur	a f y r
afwaarts	a f v A: r t s
afwaartse	a f v A: r t s @
afwag	a f v a x
afwagtend	a f v a x t @ n t
afwagting	a f v a x t @ N
afwarming	a f v a r m @ N
afwas	a f v a s
afweer	a f v i@ r
afwenteling	a f v E n t @ l @ N
afwerking	a f v { r k @ N
afwerkings	a v { r k @ N s
afwerp	a f v { r p
afwesig	a f v i@ s @ x
afwesige	a f v i@ s @ x @
afwesigheid	a f v i@ s @ x h\ @i t
afwissel	a f v @ s @ l
afwisselend	a f v @ s @ l @ n t
afwisselende	a f v @ s @ l @ n d @
afwisseling	a f v @ s @ l @ N
afwyk	a f v @i k
afwykend	a f v @i k @ n t
afwykende	a f v @i k @ n d @
afwyking	a f v @i k @ N
afwykings	a f v @i k @ N s
afwykingsontleding	a f v @i k @ N s O n t l i@ d @ N
afwys	a f v @i s
afwysend	a v @i s @ n t
afwysing	a v @i s @ N
agaat	a x A: t
ag	a x
age	A: x @
agenda	a x E n d a
agendas	a x E n d a s
agense	a x E n s @
agent	a x E n t
agente	a x E n t @
agentskap	a x E n t s k a p
agentskappe	a x E n t s k a p @
aggregate	a x r @ x A: t @
aggressie	a x r E s i
aggressief	a x r @ s i f
aggressiewe	a x r @ s i v @
aggressiwiteit	a x r @ s i v i t @i t
agneming	a x n i@ m @ N
agonis	a x u n @ s
agoniste	a x u n @ s t @
agste	a x s t @
agsteman	a x s t @ m a n
agt	a x t
agteraan	a x t @ r A: n
agteraf	a x t @ r a f
agter	a x t @ r
agterbaan	a x t @ r b A: n
agterbene	a x t @ r b i@ n @
agterblad	a x t @ r b l a t
agterbly	a x t @ r b l @i
agterdeur	a x t @ r d 2: r
agterdog	a x t @ r d O x
agterdogtig	a x t @ r d O x t @ x
agtereenvolgende	a x t @ r i@ n f O l x @ n d @
agtereenvolgens	a x t @ r i@ n f O l x @ n s
agterent	a x t @ r E n t
agtergeblewe	a x t @ r x @ b l i@ v @
agtergeblewenes	a x t @ r x @ b l i@ v @ n @ s
agtergebly	a x t @ r x @ b l @i
agtergekom	a x t @ r x @ k O m
agtergelaat	a x t @ r x @ l A: t
agtergrond	a x t @ r x r O n t
agtergronde	a x t @ r x r O n d @
agtergrondinligting	a x t @ r x r O n t @ n l @ x t @ N
agtergrondkennis	a x t @ r x r O n t k E n @ s
agtergrondmusiek	a x t @ r x r O n t m 9 s i k
agtergrondskennis	a x t @ r x r O n t s k E n @ s
agterhoede	a x t @ r h\ u d @
agterin	a x t @ r @ n
agterkamer	a x t @ r k A: m @ r
agterkant	a x t @ r k a n t
agterkom	a x t @ r k O m
agterkop	a x t @ r k O p
agterlaat	a x t @ r l A: t
agterlangs	a x t @ r l a N s
agterlik	a x t @ r l @ k
agterlyf	a x t @ r l @i f
agterlyn	a x t @ r l @i n
agterlynbeweging	a x t @ r l @i n b @ v i@ x @ N
agterlynbewegings	a x t @ r l @i n b @ v i@ x @ N s
agterlyne	a x t @ r l @i n @
agtermiddag	a x t @ r m @ d a x
agterna	a x t @ r n A:
agternagesit	a x t @ r n A: x @ s @ t
agteroor	a x t @ r u@ r
agterop	a x t @ r O p
agterpant	a x t @ r p a n t
agterpante	a x t @ r p a n t @
agterplaas	a x t @ r p l A: s
agterpote	a x t @ r p u@ t @
agterruit	a x t @ r 9y t
agtersitplek	a x t @ r s @ t p l { k
agtersitplekke	a x t @ r s @ t p l { k @
agterspel	a x t @ r s p { l
agterspeler	a x t @ r s p i@ l @ r
agterspelers	a x t @ r s p i@ l @ r s
agterstallig	a x t @ r s t a l @ x
agterstallige	a x t @ r s t a l @ x @
agterstand	a x t @ r s t a n t
agterstande	a x t @ r s t a n d @
agterste	a x t @ r s t @
agterstevoor	a x t @ r s t @ f u@ r
agtertoe	a x t @ r t u
agtertuin	a x t @ r t 9y n
agteruit	a x t @ r 9y t
agteruitgang	a x t @ r 9y t x a N
agteruitgegaan	a x t @ r 9y t x @ x A: n
agtervoegsels	a x t @ r f u x s @ l s
agtervoet	a x t @ r f u t
agtervolg	a x t @ r f O l x
agtervolgers	a x t @ r f O l x @ r s
agtervolging	a x t @ r f O l x @ N
agterweë	a x t @ r v i@
agterwiel	a x t @ r v i l
agthonderd	a x t h\ O n d @ r t
agtiende	a x t i n d @
agtig	a x t @ x
agtige	a x t @ x @
agting	a x t @ N
agtjarige	a x j A: r @ x @
agtste	a x s t @
agtsteman	a x s t @ m a n
agtstemanne	a x s t @ m a n @
agttal	a x t a l
agttien	a x t i n
agttiende	a x t i n d @
agttienjarige	a x t i n j A: r @ x @
agtuur	a x t y r
aha	a h\ a
aia	a i a
ai	a i
aikôna	a i k O n a
akademici	a k a d i@ m i s i
akademie	a k a d i@ m i
akademies	a k a d i@ m i s
akademiese	a k a d i@ m i s @
akademikus	a k a d i@ m i k 9 s
akasia	a k A: s i a
akkedis	a k @ d @ s
akkedisse	a k @ d @ s @
akker	a k @ r
akkerbou	a k @ r b @u
akkers	a k @ r s
akkommodasie	a k u m u d A: s i
akkommodeer	a k O m u d i@ r
akkomodeer	a k O m u d i@ r
akkoord	a k u@ r t
akkreditasie	a k r E d i t A: s i
akkreditering	a k r E d i t i@ r @ N
akkulturasie	a k 9 l t y r A: s i
akkumulasie	a k y m y l A: s i
akkumuleer	a k y m y l i@ r
akkuraat	a k y r A: t
akkuraatheid	a k y r A: t h\ @i t
akkuraatste	a k y r A: t s t @
akkurate	a k y r A: t @
akkurater	a k y r A: t @ r
akkusatief	a k y s a t i f
akoestiek	a k u s t i k
akoestiese	a k u s t i s @
akriel	a k r i l
akrielverf	a k r i l f { r f
akrobatiese	a k r u b A: t i s @
akronieme	a k r u n i m @
aks	a k s
aksent	a k s E n t
aksente	a k s E n t @
aksentueer	a k s E n t S y i@ r
aksepbank	a k s E p b a N k
aksie	a k s i
aksiegroep	a k s i x r u p
aksiekomitee	a k s i k O m @ t i@
aksienavorsing	a k s i n A: f O r s @ N
aksieplan	a k s i p l a n
aksieplanne	a k s i p l a n @
aksiepotensiaal	a k s i p u t E n S i A: l
aksiepotensiale	a k s i p u t E n S i A: l @
aksies	a k s i s
aksiesisteem	a k s i s @ s t i@ m
aksiewerkwoord	a k s i v { r k v u@ r t
aksiewerkwoorde	a k s i v { r k v u@ r d @
aksiewoord	a k s i v u@ r t
aksiewoorde	a k s i v u@ r d @
aksiomas	a k s i u@ m a s
aksoem	a k s u m
aksyns	a k s @i n s
aksynsbelasting	a k s @i n s b @ l a s t @ N
akte	a k t @
aktekantoor	a k t @ k a n t u@ r
aktes	a k t @ s
aktetas	a k t @ t a s
akteur	a k t 2: r
akteurs	a k t 2: r s
aktief	a k t i f
aktiewe	a k t i v @
aktiveer	a k t i f i@ r
aktivering	a k t i f i@ r @ N
aktivis	a k t i f @ s
aktiviste	a k t i v @ s t @
aktiwiteit	a k t i v i t @i t
aktiwiteite	a k t i v i t @i t @
aktiwiteitsgebaseerde	a k t i v i t @i t s x @ b a s i@ r d @
aktiwiteitsvlak	a k t i v i t @i t s f l a k
aktrise	a k t r i s @
aktrises	a k t r i s @ s
aktualiseer	a k t S u a l i s i@ r
aktualisering	a k t S u a l i s i@ r @ N
aktualiteit	a k t S u a l i t @i t
aktualiteitsprogram	a k t S u a l i t @i t s p r u x r a m
aktuaris	a k t S u A: r @ s
aktuarisse	a k t S u A: r @ s @
aktueel	a k t S y i@ l
aktuele	a k t y i@ l @
akupunktuur	a k y p 9 N k t y r
akute	a k y t @
akwadukte	a k w a d 9 k t @
akwakultuur	a k w a k 9 l t y r
akwarium	a k w A: r i 9 m
akwatiese	a k w A: t i s @
al	a l
alarm	a l a r @ m
alarms	a l a r @ m s
alarmstelsel	a l a r @ m s t { l s @ l
alarmstelsels	a l a r @ m s t { l s @ l s
albatros	a l b a t r O s
albei	a l b @i
album	a l b 9 m
albumien	a l b 9 m i n
albums	a l b 9 m s
alcohol	a l k O h\ O l
aldaar	a l d A: r
aldag	a l d a x
aldan	a l d a n
aldosteroon	a l d O s t @ r u@ n
aldus	a l d 9 s
alewig	a l i@ v @ x
alewige	a l i@ v @ x @
alfa	a l f a
alfabet	a l f a b E t
alfabeties	a l f a b i@ t i s
algaande	a l x A: n d @
algar	a l x a r
alge	a l x @
algebra	a l x @ b r a
algebraïese	a l x @ b r a i s @
algeheel	a l x @ h\ i@ l
algehele	a l x @ h\ i@ l @
algemeen	a l x @ m i@ n
algemeenste	a l x @ m i@ n s t @
algemene	a l x @ m i@ n @
algerynse	a l x @ r @i n s @
algoritme	a l x u r @ t m @
algoritmes	a l x u r @ t m @ s
alhoewel	a l h\ u v { l
alia	A: l i a
alias	A: l @ a s
alie	A: l i
alkaanamiene	a l k A: n a m i n @
alkali	a l k A: l i
alkaliese	a l k A: l i s @
alkanale	a l k a n A: l @
alkane	a l k A: n @
alkanole	a l k a n u@ l @
alkanone	a l k a n u@ n @
alkeen	a l k i@ n
alkene	a l k i@ n @
alkohol	a l k O l
alkohole	a l k u h\ u@ l @
alkoholgebruik	a l k O l x @ b r 9y k
alkoholiese	a l k u h\ u@ l i s @
alkoholinname	a l k O l @ n A: m @
alkoholiste	a l k u l @ s t @
alkoholmisbruik	a l k O l m @ s b r 9y k
alkoholsindroom	a l k O l s @ n d r u@ m
alkyne	a l k @i n @
alle	a l @
alledaagse	a l @ d A: x s @
alleenagent	a l i@ n a x E n t
alleen	a l i@ n
alleenheid	a l i@ n h\ @i t
alleenloper	a l i@ n l u@ p @ r
alleenlopers	a l i@ n l u@ p @ r s
alleenstaande	a l i@ n s t A: n d @
allegorie	a l @ x u r i
allegoriese	a l @ x u@ r i s @
alleman	a l @ m a n
allemintige	a l @ m @ n t @ x @
aller	a l @ r
allerbeste	a l @ r b E s t @
allereers	a l @ r i@ r s
allergene	a l @ r x i@ n @
allergie	a l { r x i
allergies	a l { r x i s
allergiese	a l { r x i s @
allergrootste	a l @ r x r u@ t s t @
allerhande	a l @ r h\ a n d @
allerheiligste	a l @ r h\ @i l @ x s t @
allerhoogste	a l @ r h\ u@ x s t @
allerlei	a l @ r l @i
allermins	a l @ r m @ n s
allerweë	a l @ r v i@
alles	a l @ s
allesbehalwe	a l @ s b @ h\ A: l v @
allesomvattende	a l @ s O m f a t @ n d @
alliansie	a l i a n s i
alliansies	a l i a n s i s
alliansievennote	a l i a n s i f @ n u@ t @
alliterasie	a l @ t @ r A: s i
allokasie	a l u k A: s i
allooi	a l u@ i
allooie	a l u@ i @
allooiwiele	a l u@ i v i l @
allyn	a l @i n
alma	a l m a
almag	a l m a x
almagtig	a l m a x t @ x
almagtige	a l m a x t @ x @
almal	a l m a l
almanak	a l m a n a k
aloe	a l u
alom	a l O m
alombekende	a l O m b @ k E n d @
alomteenwoordig	a l O m t i@ n v u@ r d @ x
alomteenwoordige	a l O m t i@ n v u@ r d @ x @
alpha	a l f a
alreeds	a l r i@ t s
als	a l s
also	a l s u@
altaar	a l t A: r
altans	a l t a n s
altare	a l t A: r @
alte	a l t @
altemit	a l t @ m @ t
alter	a l t @ r
alteriteit	a l t E r i t @i t
alternatief	a l t { r n a t i f
alternatiewe	a l t { r n a t i v @
alternatiewelik	a l t @ r n a t i v @ l @ k
altesaam	a l t @ s A: m
altesame	a l t @ s A: m @
altoos	a l t u@ s
altviool	a l t f i u@ l
altwee	a l t w i@
altyd	a l t @i t
aluminium	a l 9 m i n i 9 m
aluminiumfoelie	a l 9 m i n i 9 m f u l i
alveolêre	a l v i u l { r @
alveoli	a l v i u@ l i
alveolus	a l v i u@ l 9 s
alvorens	a l f u@ r @ n s
alweer	a l v i@ r
alwetende	a l v i@ t @ n d @
alwyn	a l v @i n
amandels	a m a n d @ l s
amateur	a m a t 2: r
amateurisme	a m a t 2: r @ s m @
amateurs	a m a t 2: r s
amateurspan	a m a t 2: r s p a n
ambag	a m b a x
ambagsman	a m b a x s m a n
ambassade	a m b a s A: d @
ambassades	a m b a s A: d @ s
ambassadeur	a m b a s a d 2: r
ambassadeurs	a m b a s a d 2: r s
ambisie	a m b i s i
ambisieus	a m b i s i 2: s
ambisieuse	a m b i s i 2: s @
ambivalensie	a m b @ v a l E n s i
ambulans	a m b y l A: n s
ambulansdienste	a m b y l A: n s d i n s t @
ambulanse	a m b y l A: n s @
ambulansmanne	a m b y l A: n s m a n @
amen	A: m E n
amendement	a m E n d @ m E n t
amerikaanse	a m i@ r i k A: n s @
amerikaner	a m i@ r i k A: n @ r
amfibie	a m f i b i
amfibiese	a m f i b i s @
amfiteater	a m f i t i A: t @ r
amiede	a m i d @
amiese	A: m i s @
amino	a m i n u
aminoglikosiede	a m i n u x l i k u s i d @
aminosuur	a m i n u s y r
ammoniak	a m u@ n i a k
ammoniete	a m u n i t @
ammonium	a m u@ n i 9 m
ammunisie	a m y n i s i
amnestie	a m n E s t i
amnionvog	a m n i O n f O x
amok	a m O k
amp	a m p
amper	a m p @ r
ampsdraer	a m p s d r A: @ r
ampsdraers	a m p s d r A: @ r s
ampsgenoot	a m p s x @ n u@ t
ampsgenote	a m p s x @ n u@ t @
ampsmotor	a m p s m u@ t @ r
ampstermyn	a m p s t @ r m @i n
ampswoning	a m p s v u@ n @ N
ampte	a m p t @
amptelik	a m p t @ l @ k
amptelike	a m p t @ l @ k @
amptenaar	a m p t @ n A: r
amptenare	a m p t @ n A: r @
amptenary	a m p t @ n a r @i
amsterdamse	a m s t @ r d a m s @
amusant	a m y s a n t
anabaptiste	a n a b a p t @ s t @
anaerobiese	a n i@ r u@ b i s @
analgetika	a n a l x i@ t i k a
analis	a n a l @ s
analise	a n a l i s @
analiseer	a n a l i s i@ r
analisering	a n a l i s i@ r @ N
analises	a n a l i s @ s
analities	a n a l i t i s
analitiese	a n a l i t i s @
analogie	a n a l u x i
analogiese	a n a l u@ x i s @
analoog	a n a l u@ x
anargie	a n a r x i
anatomiese	a n a t u@ m i s @
ander	a n d @ r
andere	a n d @ r @
anderen	a n d @ r @ n
anderhalf	a n d @ r h\ a l f
anderkant	a n d @ r k a n t
andermaal	a n d @ r m A: l
anderpad	a n d @ r p a t
anders	a n d @ r s
andersdenkendes	a n d @ r s d E N k @ n d @ s
andersheid	a n d @ r s h\ @i t
andersins	a n d @ r s @ n s
andersom	a n d @ r s O m
anderste	a n d @ r s t @
anderster	a n d @ r s t @ r
andersyds	a n d @ r s @i t s
anekdotes	a n E k d u@ t @ s
anemie	a n i@ m i
anemone	a n @ m u@ n @
anestesie	a n @ s t i@ s i
anestetika	a n @ s t i@ t i k a
angel	a N @ l
angels	a N @ l s
angina	a n x i n a
angiotensien	a n x i u t E n s i n
anglisismes	a N x l i s @ s m @ s
anglo	a N x l u@
angolese	a N x u l i@ s @
angsaanvalle	a N s A: n f a l @
angs	a N s
angsbevange	a N s b @ f a N @
angst	a N s t
angstig	a N s t @ x
angstige	a N s t @ x @
angstigheid	a N s t @ x h\ @i t
angsversteuring	a N s f @ r s t 2: r @ N
angswekkend	a N s v E k @ n t
angswekkende	a N s v E k @ n d @
anhand	a n h\ a n t
animasie	a n i m A: s i
animasieprent	a n i m A: s i p r E n t
animus	a n i m u s
anioon	a n i u@ n
anker	a N k @ r
ankers	a N k @ r s
anna	a n a
annale	a n A: l @
annekseer	a n E k s i@ r
anners	a n @ r s
annoteer	a n u t i@ r
anode	a n u@ d @
anomalie	a n u m a l i
anoniem	a n u n i m
anonieme	a n u n i m @
anonimiteit	a n u n i m i t @i t
anoreksie	a n u r E k s i
anorexia	a n u r E k s i a
anorganiese	a n O r x A: n i s @
antagonis	a n t a x u n @ s
antagonisme	a n t a x u n @ s m @
antagoniste	a n t a x u n @ s t @
ant	a n t
antarktiese	a n t a r k t i s @
ante	a n t i
antenatale	a n t i n a t A: l @
antenna	a n t E n a
anterior	a n t i@ r i O r
antesedent	a n t @ s @ d E n t
anti	a n t i
antibakteriese	a n t i b a k t i@ r i s @
antibiotiese	a n t i b i u@ t i s @
antibiotika	a n t i b i u@ t i k a
antibiotikum	a n t i b i u@ t i k 9 m
antidepressante	a n t i d E p r @ s a n t @
antie	a n t i
antieke	a n t i k @
antigeen	a n t i x i@ n
antigene	a n t i x i@ n @
antihipertensiewe	a n t i h\ i p @ r t E n s i v @
antihistamiene	a n t i h\ i s t a m i n @
antiklimaks	a n t i k l i m a k s
antiliggame	a n t i l @ x A: m @
antimikrobiese	a n t i m i k r u@ b i s @
antimoon	a n t i m u@ n
antiretrovirale	a n t i r E t r u v i r A: l @
antiseptiese	a n t i s E p t i s @
antiseptika	a n t i s E p t i k a
antisosiale	a n t i s u@ S i A: l @
antitese	a n t i t i@ s @
antivirale	a n t i v i r A: l @
antropologie	a n t r u p u l u x i
antropologiese	a n t r u p u l u@ x i s @
antropoloog	a n t r u p u l u@ x
antropometriese	a n t r u p u m i@ t r i s @
antwoord	a n t v u@ r t
antwoordblad	a n t v u@ r t b l a t
antwoordbylaag	a n t v u@ r t b @i l A: x
antwoordbylae	a n t v u@ r t b @i l A: @
antwoorde	a n t v u@ r d @
antwoordmasjien	a n t v u@ r t m a S i n
antwoordstel	a n t v u@ r t s t { l
anus	A: n 9 s
apart	a p a r t
aparte	a p a r t @
apartheid	a p a r t h\ @i t
apartheidsbedeling	a p a r t h\ @i t s b @ d i@ l @ N
apartheidsera	a p a r t h\ @i t s i@ r a
apartheidsjare	a p a r t h\ @i t s j A: r @
apartheidsregering	a p a r t h\ @i t s r @ x i@ r @ N
apartheidsregime	a p a r t h\ @i t s r @ Z i m
apartheidstelsel	a p a r t h\ @i t s t { l s @ l
apartheidstyd	a p a r t h\ @i t s t @i t
apartheidsverlede	a p a r t h\ @i t s f @ r l i@ d @
apatie	a p a t i
apaties	a p A: t i s
ape	A: p @
apie	A: p i
apikale	a p i k A: l @
apnee	a p n i@
apokaliptiek	a p u k a l @ p t i k
apokaliptiese	a p u k a l @ p t i s @
apokriewe	a p u k r i v @
apostel	a p O s t @ l
apostels	a p O s t @ l s
apostoliese	a p u s t u@ l i s @
apparaat	a p a r A: t
apparate	a p a r A: t @
apparatuur	a p a r a t y r
appel	a p @ l
appèl	a p { l
appelkoos	a p @ l k u@ s
appelkooskonfyt	a p @ l k u@ s k O n f @i t
appelleer	a p @ l i@ r
appelsap	a p @ l s a p
appels	a p @ l s
appeltjie	a p @ l k i
applikant	a p l i k a n t
applikante	a p l i k a n t @
applikatief	a p l i k a t i f
applikatiewe	a p l i k a t i v @
applous	a p l @u s
appropriasie	a p r u@ p r i A: s i
apteek	a p t i@ k
apteke	a p t i@ k @
apteker	a p t i@ k @ r
aptekerintern	a p t i@ k @ r @ n t { r n
aptekerinterns	a p t i@ k @ r @ n t { r n s
aptekers	a p t i@ k @ r s
aptekersassistent	a p t i@ k @ r s a s @ s t E n t
aptekersassistente	a p t i@ k @ r s a s @ s t E n t @
aptekerskwalifikasie	a p t i@ k @ r s k w a l @ f i k A: s i
aptekerstudent	a p t i@ k @ r s t u d E n t
aptekerswese	a p t i@ k @ r s v i@ s @
aquila	a k w i l a
arabiese	a r A: b i s @
arachnida	a r a x n i d a
aramese	a r a m i@ s @
arbeid	a r b @i t
arbeider	a r b @i d @ r
arbeiders	a r b @i d @ r s
arbeidersparty	a r b @i d @ r s p a r t @i
arbeidsake	a r b @i t s A: k @
arbeids	a r b @i t s
arbeidsbetrekkinge	a r b @i t s b @ t r { k @ N @
arbeidsektor	a r b @i t s E k t O r
arbeidsgenot	a r b @i t s x @ n O t
arbeidsgeskille	a r b @i t s x @ s k @ l @
arbeidshof	a r b @i t s h\ O f
arbeidsintensief	a r b @i t s @ n t E n s i f
arbeidsintensiewe	a r b @i t s @ n t E n s i v @
arbeidskoste	a r b @i t s k O s t @
arbeidskrag	a r b @i t s k r a x
arbeidsmag	a r b @i t s m a x
arbeidsmark	a r b @i t s m a r k
arbeidsmarkte	a r b @i t s m a r k t @
arbeidsonrus	a r b @i t s O n r 9 s
arbeidsorganisasie	a r b @i t s O r x a n i s A: s i
arbeidspraktyk	a r b @i t s p r a k t @i k
arbeidspraktyke	a r b @i t s p r a k t @i k @
arbeidsprobleme	a r b @i t s p r u b l i@ m @
arbeidsraad	a r b @i t s r A: t
arbeidsterapeut	a r b @i t s t E r a p 2: t
arbeidsure	a r b @i t s y r @
arbeidsverdeling	a r b @i t s f @ r d i@ l @ N
arbeidsverhouding	a r b @i t s f @ r h\ @u d @ N
arbeidsverhoudinge	a r b @i t s f @ r h\ @u d @ N @
arbeidsverhoudingesisteem	a r b @i t s f @ r h\ @u d @ N @ s @ s t i@ m
arbeidswêreld	a r b @i t s v { r @ l t
arbeidswetgewing	a r b @i t s v E t x i@ v @ N
arbeidswette	a r b @i t s v E t @
arbitrasie	a r b i t r A: s i
arbitrêr	a r b i t r { r
arbitrêre	a r b i t r { r @
area	A: r i a
are	A: r @
areas	A: r i a s
arena	a r i@ n a
arend	A: r @ n t
arende	A: r @ n d @
areola	a r i u@ l a
areopagusrede	a r i u p A: x 9 s r i@ d @
arg	a r x
argeloos	a r x @ l u@ s
argeologie	a r x i u l u x i
argeologiese	a r x i u l u@ x i s @
argeoloog	a r x i u l u@ x
argetipe	a r x @ t i p @
argetipes	a r x @ t i p @ s
argetipiese	a r x @ t i p i s @
argiewe	a r x i v @
argitek	a r x i t E k
argitekte	a r x i t E k t @
argitektoniese	a r x i t E k t u@ n i s @
argitektuur	a r x i t E k t y r
argon	a r x O n
argument	a r x y m E n t
argumentasie	a r x y m E n t A: s i
argumentasielyn	a r x y m E n t A: s i l @i n
argumente	a r x y m E n t @
argumenteer	a r x y m E n t i@ r
argumentering	a r x y m E n t i@ r @ N
argwaan	a r x v A: n
arias	A: r i a s
aries	A: r i s
aristide	a r @ s t i d @
aristokrasie	a r @ s t u k r a s i
ark	a r k
arm	a r @ m
armband	a r @ m b a n t
armbande	a r @ m b a n d @
arme	a r m @
armer	a r m @ r
armes	a r m @ s
armholte	a r @ m h\ O l t @
armlengte	a r @ m l E N t @
armoede	a r m u d @
armoedeverligting	a r m u d @ f @ r l @ x t @ N
armoedig	a r m u d @ x
armpies	a r @ m p i s
armsalige	a r @ m s A: l @ x @
arms	a r @ m s
armste	a r @ m s t @
arobiese	a r u@ b i s @
aroma	a r u@ m a
aromatiese	a r u m A: t i s @
aronskelke	A: r O n s k { l k @
arpeggio	a r p E d Z i u
arres	a r E s
arrestasie	a r @ s t A: s i
arrestasies	a r @ s t A: s i s
arresteer	a r @ s t i@ r
arriveer	a r i f i@ r
arrogansie	a r u x a n s i
arrogant	a r u x a n t
arrogante	a r u x a n t @
arsenaal	a r s @ n A: l
arsene	a r s i@ n @
art	a r t
arte	a r t @
artefakte	a r t @ f a k t @
arterie	a r t @ r i
arteriële	a r t i r i i@ l @
artikel	a r t i k @ l
artikels	a r t i k @ l s
artikulasie	a r t i k y l A: s i
